"country","iso_code","cases_total","deaths_total","cfr","shape2","shape1","cfr_hi","cfr_lo"
"AFRO Region","AFRO",1290616,24610,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Angola","AGO",3881,122,0.0314351971141458,1.91096329577267,0.0106251880526534,0.0374185678560834,0.0261718961411289
"Burundi","BDI",5695,41,0.00719929762949956,1.90229301452637,0.00683135986328036,0.0097541120179625,0.00517115013515121
"Benin","BEN",3617,56,0.0154824440143766,1.90584468267043,0.00845863751601339,0.0200586681353745,0.0117159081320988
"Burkina Faso","BFA",7,0,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Cote d'Ivoire","CIV",446,18,0.0403587443946188,1.86279019215144,0.0132138466462484,0.0630358330346678,0.0240915930830312
"Cameroon","CMR",29978,926,0.0308893188338115,1.92922441586852,0.0101363092660895,0.0329105908425132,0.0289596444259036
"Democratic Republic of Congo","COD",324021,5857,0.0180759889019539,1.8987332796678,0.00822425261139781,0.0185405902651102,0.0176200354061891
"Congo","COG",144,10,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Comoros","COM",11171,153,0.0136961776027213,1.89565963745117,0.00786437988281161,0.0160275882980029,0.0116235871363344
"Ethiopia","ETH",73920,928,0.0125541125541126,1.91239574961364,0.00748791247606189,0.0133829286515221,0.0117638920970574
"Ghana","GHA",35107,293,0.00834591392030079,1.90821641944349,0.00675714164972217,0.009353595634078,0.00742089137850722
"Guinea","GIN",1,0,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Guinea-Bissau","GNB",11,2,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Kenya","KEN",47956,683,0.0142422220368671,1.92531060427427,0.00780141949653537,0.0153430340803468,0.0132008032872443
"Liberia","LBR",580,0,0,1.93806064147502,0.00616376921534449,0.00633995412984043,0
"Mali","MLI",12,4,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Mozambique","MOZ",85493,335,0.00391844946369878,1.88093376904726,0.00560304522514254,0.00436037652915023,0.00351072836397369
"Malawi","MWI",62916,1859,0.0295473329518723,1.88802003515884,0.00979882366955192,0.0309003376857537,0.0282379552967094
"Namibia","NAM",485,13,0.0268041237113402,2.02108116745949,0.0118875265121451,0.0453997382598671,0.0143475774891305
"Niger","NER",12705,357,0.028099173553719,1.89679945218377,0.00984772462397725,0.0311224193878888,0.0252947861887114
"Nigeria","NGA",265652,7242,0.0272612289762546,1.89140478146728,0.00943493777885945,0.0278875371074475,0.026645263350298
"Rwanda","RWA",453,0,0,1.92631623853813,0.00654331587720574,0.00811015553879813,0
"Sudan","SDN",362,11,0.0303867403314917,1.85450936854884,0.0122066757555322,0.0537188851215656,0.0152645782473811
"Somalia","SOM",134839,1849,0.013712649900993,1.90616204440594,0.00764352083206088,0.0143476551244781,0.0130986856429839
"South Sudan","SSD",56108,1140,0.0203179582234263,1.91496673006041,0.00868699081474826,0.0215193894806105,0.0191665132932372
"Eswatini","SWZ",2,0,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Chad","TCD",1359,90,0.0662251655629139,1.85681002921483,0.0149952450185074,0.0807772377767796,0.0535857863575267
"Togo","TGO",771,38,0.0492866407263294,1.86578331883065,0.013641350157558,0.0670250299411883,0.0351108386540252
"Tanzania","TZA",45865,667,0.0145426796031833,1.91504696086049,0.00783557593822391,0.0156804336670039,0.0134669976406016
"Uganda","UGA",9286,182,0.0195993969416326,1.90597172980197,0.00880453120916993,0.0226280853451036,0.0168776331459813
"South Africa","ZAF",1403,47,0.0334996436208125,2.00802407860756,0.0117126226425162,0.0443002614222404,0.024716026050516
"Zambia","ZMB",30686,894,0.0291338069477938,1.89282157624257,0.00982545267324806,0.0310769805874496,0.027280469216864
"Zimbabwe","ZWE",45684,793,0.0173583749233867,1.9027696553072,0.00824902119056699,0.0185980828023744,0.0161805584721108
"Botswana","BWA",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Central African Republic","CAF",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Cape Verde","CPV",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Djibouti","DJI",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Algeria","DZA",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Egypt","EGY",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Eritrea","ERI",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Gabon","GAB",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Gambia","GMB",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Equatorial Guinea","GNQ",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Libya","LBY",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Lesotho","LSO",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Morocco","MAR",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Madagascar","MDG",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Mauritania","MRT",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Mauritius","MUS",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Senegal","SEN",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Sierra Leone","SLE",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"São Tomé & Príncipe","STP",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Seychelles","SYC",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
"Tunisia","TUN",NA,NA,0.0190684138426922,1.91150335942511,0.00835753499995829,0.0193058367581683,0.0188331526735693
